year,month,day_of_week,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,hour
2021,may,monday,serious,5,cycle,0,4,hazy,national highway,wet,dark,signs,61,66,male,,yes,1
2018,january,wednesday,minor,5,truck,5,4,hazy,urban road,dry,dusk,signs,92,60,male,,yes,21
2023,may,wednesday,minor,5,pedestrian,6,5,foggy,national highway,under construction,dawn,signs,120,26,female,,no,5
2020,june,saturday,minor,3,bus,10,5,rainy,state highway,dry,dark,signals,76,34,female,valid,yes,0
2021,august,thursday,minor,5,cycle,7,1,foggy,urban road,wet,dusk,signs,115,30,male,,no,11
2020,november,tuesday,serious,1,truck,6,2,stormy,village road,dry,daylight,police checkpost,48,44,male,expired,yes,8
2021,october,monday,fatal,2,two-wheeler,9,5,foggy,urban road,under construction,dusk,police checkpost,111,48,female,,no,18
2022,december,wednesday,minor,3,truck,1,5,clear,state highway,damaged,dark,police checkpost,62,42,female,valid,no,11
2021,july,saturday,fatal,3,truck,7,1,clear,urban road,damaged,dawn,signs,35,53,male,valid,no,8
2018,august,saturday,fatal,2,car,3,2,foggy,state highway,under construction,dark,signs,110,50,female,,yes,2
2020,april,thursday,minor,5,pedestrian,1,3,hazy,national highway,dry,dusk,signals,35,49,female,,no,22
2018,august,tuesday,fatal,3,bus,1,4,clear,national highway,wet,dusk,,46,41,male,valid,no,16
2021,september,saturday,serious,1,cycle,2,3,hazy,village road,under construction,daylight,signs,46,55,female,,no,23
2020,june,wednesday,serious,5,car,0,0,foggy,state highway,wet,dusk,signals,98,44,female,valid,no,6
2021,august,friday,serious,3,bus,6,3,foggy,national highway,wet,dawn,police checkpost,47,54,male,valid,no,18
2018,august,friday,minor,4,cycle,4,5,stormy,state highway,under construction,dusk,signals,60,44,female,,no,12
2019,october,sunday,minor,2,cycle,7,4,rainy,village road,damaged,dark,signs,90,51,female,valid,no,12
2023,october,thursday,fatal,5,car,10,2,hazy,village road,wet,dark,signs,114,51,female,expired,no,18
2023,november,wednesday,serious,3,auto-rickshaw,7,1,rainy,national highway,under construction,dawn,signs,80,55,male,valid,yes,10
2022,april,saturday,fatal,3,car,7,5,foggy,state highway,wet,daylight,signs,46,57,female,valid,yes,6
2018,june,tuesday,serious,5,two-wheeler,6,3,rainy,urban road,dry,dusk,signals,30,20,female,expired,yes,8
